Mean H,Mean S,Mean V,Std H,Std S,Std V,Ratio S/H,Ratio V/S,Entropy H,Prop Kuning,Prop Hijau,Std Gray,Label,Filename
26.60171875,68.56239583,146.6205729,23.33441144,31.66780474,40.30839247,2.577366173,2.138498075,4.100592613,0.677916667,0.002864583,39.62440812,matang,matang-1.jpg
25.781875,80.976875,120.2465104,18.93043528,21.67972571,42.40072245,3.140843852,1.48494858,3.658917904,0.802239583,0.003333333,39.08179708,matang,matang-2.jpg
24.54973958,66.28880208,119.7835938,10.41808948,24.06208722,33.08608235,2.700182414,1.80699563,4.063020229,0.82421875,0.000104167,31.99499359,matang,matang-3.jpg
21.68385417,135.465625,119.7809896,14.83188955,36.66573766,38.06044949,6.24730094,0.884216795,3.560448647,0.67296875,0.0,35.73843096,matang,matang-4.jpg
29.63489583,65.72609375,128.6970313,32.93512612,27.33797584,47.70461446,2.217860725,1.958080944,4.717312336,0.347604167,0.00421875,45.33137977,matang,matang-5.jpg
26.19666667,79.92614583,135.8775,16.97953944,23.69842347,37.04859975,3.051003257,1.700037974,3.831428528,0.88203125,0.004427083,34.73604701,matang,matang-6.jpg
39.178125,58.87588542,98.97588542,32.20536382,23.38912367,31.58328757,1.502774071,1.681093506,4.308027744,0.859947917,0.00140625,30.69621176,matang,matang-7.jpg
38.01166667,70.18369792,78.89265625,44.7042733,26.3336812,30.6752443,1.846372064,1.124087892,4.768440723,0.682239583,0.0,29.89129502,matang,matang-8.jpg
24.1940625,104.1035938,96.29682292,20.67760831,36.01376686,39.42160166,4.302855327,0.925009504,3.883528233,0.77515625,0.0,36.29018194,matang,matang-9.jpg
36.98322917,44.32880208,129.9267708,35.74837598,21.98271726,45.4855592,1.198618701,2.930977952,4.246582031,0.77953125,0.0128125,44.83406169,matang,matang-10.jpg
44.85822917,64.2678125,124.4681771,14.93920335,29.06419879,44.86650254,1.43268692,1.936710662,4.731341362,0.33828125,0.155885417,43.75323825,mentah,mentah-1.jpg
55.40697917,61.54640625,144.9789063,12.8535174,21.01125275,50.69968075,1.110805824,2.355602732,5.077867985,0.022447917,0.55359375,48.08808202,mentah,mentah-2.jpg
60.43192708,47.43734375,102.8808854,17.75258935,19.15186379,44.30418445,0.784971425,2.168773704,4.885205269,0.000989583,0.673854167,42.59556662,mentah,mentah-3.jpg
71.65864583,50.59067708,172.2216667,16.917965,30.96132343,69.17602117,0.70599534,3.404216796,5.854808807,0.002291667,0.452291667,70.55120125,mentah,mentah-4.jpg
55.681875,76.96390625,96.88177083,10.19118515,26.63011882,49.34689053,1.38220727,1.258794713,4.825554848,0.0,0.663854167,47.56763511,mentah,mentah-5.jpg
47.79557292,92.98734375,132.950625,20.91309227,30.18986785,42.09950341,1.9455217,1.429771035,4.252264023,0.4003125,0.01796875,39.95496571,mentah,mentah-6.jpg
72.22078125,48.69494792,130.2088021,26.68527714,17.1070866,51.46396793,0.6742511,2.67396888,5.687533855,0.007135417,0.442552083,45.51763318,mentah,mentah-7.jpg
59.00765625,91.23963542,84.49921875,13.56583076,30.56471825,40.67340961,1.546233586,0.926123927,5.321306229,0.00046875,0.568958333,37.8434793,mentah,mentah-8.jpg
63.5290625,37.84848958,169.1029688,7.946971983,13.58842234,42.19565627,0.595766444,4.46789095,4.412584782,0.0,0.890989583,41.45397068,mentah,mentah-9.jpg
75.7240625,97.80822917,116.3884896,9.23086445,31.93991584,49.45692952,1.291639844,1.189966107,4.975110054,0.0,0.3046875,45.60303576,mentah,mentah-10.jpg
