Mean H,Mean S,Mean V,Std H,Std S,Std V,Ratio S/H,Ratio V/S,Entropy H,Prop Kuning,Prop Hijau,Std Gray,Label,Filename
"11,346,869,791,666,600","7,524,171,875","6,854,203,125","5,530,213,847,745,470","3,882,895,664,487,040","4,904,264,305,215,090",0.66310545111044,0.9109576878242579,"5,113,469,123,840,330",0.003125,0.0004166666666666,"32,245,996,699,034,500",matang,matang-1.jpg
"10,881,833,333,333,300","7,295,401,041,666,660","7,543,994,791,666,660","5,612,769,126,187,970","3,245,253,777,249,000","5,286,423,292,656,340",0.6704201532750161,"10,340,752,639,237,900","54,567,694,664,001,400",0.0005729166666666,0.0002604166666666,"37,786,025,108,216,000",matang,matang-2.jpg
"8,777,291,666,666,660","774,084,375","6,161,953,125","5,664,887,278,072,160","3,897,695,435,094","45,273,872,429,694,700",0.8819170151859279,0.796031095314242,"5,397,394,180,297,850",0.0049479166666666,0.0033333333333333,"2,868,707,469,685,750",matang,matang-3.jpg
"8,307,703,125","7,885,463,541,666,660","7,473,796,875","6,211,125,228,118,100","376,490,048,614,114","5,484,031,967,941,730",0.9491748168952353,0.9477941135247743,"5,454,932,689,666,740",0.00609375,0.0018229166666666,"38,922,754,477,015,300",matang,matang-4.jpg
"9,988,703,125","7,683,140,625","7,568,588,541,666,660","56,420,333,754,579,900","31,347,804,666,315,300","59,117,074,246,322,400",0.7691829219138072,0.9850903329751736,"5,480,905,532,836,910",0.0027604166666666,0.0014583333333333,"4,284,621,976,518,150",matang,matang-5.jpg
"9,143,848,958,333,330","752,478,125","6,611,395,833,333,330","5,748,225,602,858,070","3,611,713,359,286,480","51,635,193,030,835,000",0.822933587524828,0.8786162328263164,"5,341,358,184,814,450",0.0147916666666666,0.0022395833333333,"3,716,049,574,491,300",matang,matang-6.jpg
"9,962,994,791,666,660","7,777,458,333,333,330","6,936,072,916,666,660","5,661,773,581,990,260","3,573,124,828,484,240","5,394,444,267,300,980",0.780634509535638,0.8918173171204409,"5,328,460,693,359,370",0.0045833333333333,0.0016666666666666,"3,708,075,694,921,350",matang,matang-7.jpg
"9,376,572,916,666,660","77,511,875","7,524,604,166,666,660","6,306,782,899,923,420","4,011,696,005,412,640","5,551,215,975,049,900",0.8266545508933091,0.9707677947280815,"5,405,616,760,253,900",0.0159895833333333,0.0021875,"38,253,990,541,053,300",matang,matang-8.jpg
"10,235,203,125","7,690,973,958,333,330","7,436,192,708,333,330","6,010,266,980,550,050","3,501,366,889,240,800","5,744,769,086,629,750",0.7514236027347753,0.9668725679929644,"5,358,920,097,351,070",0.0057291666666666,0.00390625,"4,154,811,384,782,780",matang,matang-9.jpg
"13,488,932,291,666,600","7,614,578,125","9,574,317,708,333,330","396,666,696,064,411","22,703,467,703,058,300","647,931,551,032,937",0.5645055810087083,"12,573,666,319,782,700","538,798,189,163,208",52100000000.0,0.0,"53,461,291,859,932,600",matang,matang-10.jpg
"13,697,088,541,666,600","9,054,703,125","8,585,286,458,333,330","29,808,925,121,922,300","20,491,438,164,792,700","50,368,692,400,000,100",0.6610676740818195,0.9481575918786117,"4,944,154,739,379,880",0.0,0.0,"4,269,776,291,925,510",matang,matang-11.jpg
"78,518,125","10,416,953,125","100,071,875","49,115,832,314,889,800","34,449,884,475,935,000","7,237,655,324,056,520","1,326,693,906,445,940",0.9606634895303429,"4,574,018,955,230,710",0.0063020833333333,0.0001041666666666,"6,097,371,071,831,120",mentah,mentah-1.jpg
"698,634,375","10,305,604,166,666,600","11,652,911,458,333,300","50,427,946,706,334,600","3,555,079,823,527,070","8,097,787,304,674,260","14,751,067,311,224,000","11,307,352,911,233,600","4,635,218,143,463,130",0.03546875,0.0,"7,011,420,693,332,330",mentah,mentah-2.jpg
"7,325,776,041,666,660","9,761,140,625","11,404,567,708,333,300","51,434,412,799,061,500","3,585,201,768,353,900","7,236,405,895,323,580","13,324,375,789,055,200","11,683,641,264,997,300","4,930,036,544,799,800",0.0347395833333333,52100000000.0,"637,420,519,575,398",mentah,mentah-3.jpg
"735,503,125","1,005,578,125","8,846,276,041,666,660","5,583,181,375,332,230","732,102,636,204,891","7,111,009,047,512,240","13,671,974,381,893,400",0.879720326249772,"5,071,167,945,861,810",0.0078645833333333,0.0005729166666666,"48,990,406,722,578,200",mentah,mentah-4.jpg
"7,799,432,291,666,660","10,243,098,958,333,300","11,087,505,208,333,300","5,510,070,627,817,810","4,243,597,049,354,540","7,464,248,024,260,790","13,133,132,338,316,900","10,824,364,941,702,000","45,125,956,535,339,300",0.0081770833333333,0.0,"60,427,644,399,918,300",mentah,mentah-5.jpg
"41,555,104,166,666,600","10,857,708,333,333,300","9,058,651,041,666,660","39,870,960,936,887,500","8,367,195,116,839,560","7,140,416,373,910,650","2,612,845,266,117,160",0.834305907771584,"5,004,345,893,859,860",0.1061979166666666,0.03640625,"49,188,784,561,370,200",mentah,mentah-6.jpg
"6,469,385,416,666,660","11,058,244,791,666,600","10,113,505,208,333,300","53,905,955,180,252,500","6,875,987,485,329,680","7,606,684,040,271,060","17,093,189,491,940,000",0.9145668670120105,"5,040,136,337,280,270",0.0116666666666666,0.0005729166666666,"53,472,742,744,915,800",mentah,mentah-7.jpg
"7,099,416,666,666,660","10,250,380,208,333,300","96,661,875","57,502,030,465,357,300","710,252,594,894,532","748,655,680,246,336","14,438,339,437,981,100",0.9430076114770837,"527,140,998,840,332",0.0128645833333333,0.00046875,"5,414,998,732,292,070",mentah,mentah-8.jpg
"755,975","10,010,265,625","9,010,911,458,333,330","5,432,732,271,840,750","6,893,956,164,359,470","7,552,240,437,616,970","13,241,528,226,260,300",0.9001669781531253,"53,292,236,328,125",0.0113541666666666,0.00078125,"5,398,366,000,187,280",mentah,mentah-9.jpg
