Mean H,Mean S,Mean V,Std H,Std S,Std V,Ratio S/H,Ratio V/S,Entropy H,Prop Kuning,Prop Hijau,Std Gray,Label,Filename
32.66526042,104.2188542,146.2,9.062530542,23.13178096,34.67182904,3.190509457,1.402817054,3.853222609,0.97734375,0.001822917,33.52272426,mentah,mentah-1.jpg
40.310625,78.75208333,138.4451563,25.56736754,45.35947273,35.99971372,1.953630434,1.757986999,4.934194565,0.779114583,0.020260417,36.61357944,mentah,mentah-2.jpg
40.44114583,79.26421875,131.0909375,28.03331119,46.01312348,39.42611314,1.959988955,1.653847386,4.641941071,0.782447917,0.026458333,40.11836687,mentah,mentah-3.jpg
44.35244792,71.873125,135.4716667,28.40238215,50.43141224,40.89160505,1.620499255,1.884872097,5.292361259,0.627864583,0.049947917,41.4631395,mentah,mentah-4.jpg
35.45666667,97.49734375,117.8644271,11.70611919,32.28739262,42.52597374,2.749759789,1.20889873,4.162290096,0.925208333,0.008645833,41.99614249,mentah,mentah-5.jpg
64.4565625,53.963125,142.8960417,34.06576343,51.36796276,39.51204227,0.83720128,2.648030765,5.591544151,0.43671875,0.0240625,41.11647803,mentah,mentah-6.jpg
50.22557292,69.41875,138.7435938,32.2444117,49.68300727,31.7426605,1.38213926,1.998646962,5.379291058,0.592447917,0.022604167,33.76682055,mentah,mentah-7.jpg
51.53916667,70.96213542,138.9509375,35.26167548,55.34284501,30.84059299,1.37685815,1.958099444,5.595397949,0.566302083,0.042395833,33.01236776,mentah,mentah-8.jpg
40.45661458,79.48338542,118.9711458,27.6666088,47.6367345,46.54891022,1.96465687,1.496805027,5.141872406,0.735885417,0.0234375,47.30243169,mentah,mentah-9.jpg
39.92265625,76.36088542,117.3269271,28.16552464,48.08083061,47.04561554,1.912720081,1.536479195,5.240596771,0.705520833,0.033333333,47.85236165,mentah,mentah-10.jpg
24.39322917,113.834375,155.6707813,18.10842794,44.01036769,39.37039524,4.666636285,1.367519851,4.242922306,0.589010417,0.005989583,38.15433516,matang,matang-1.jpg
24.82182292,104.3575,158.87625,26.5961086,46.85504693,40.31344764,4.204262447,1.522422775,4.134039879,0.64984375,0.005,39.73316801,matang,matang-2.jpg
27.92677083,100.3771875,146.7751563,29.61782353,54.50993813,46.09495428,3.594298537,1.462236045,4.741445541,0.598697917,0.01375,45.26435078,matang,matang-3.jpg
25.26145833,104.3359375,146.4955729,19.12043175,55.50846557,44.74666865,4.130240417,1.404075742,4.314444065,0.725572917,0.02265625,44.48730942,matang,matang-4.jpg
21.53869792,96.4196875,150.7074479,16.78606076,44.53630434,39.90671788,4.476577141,1.563035892,4.394824028,0.440885417,0.025729167,39.5004267,matang,matang-5.jpg
24.71578125,102.6388542,150.8528125,24.19604825,44.37638485,53.36464188,4.152764244,1.469743588,4.568211555,0.582604167,0.000677083,50.97151129,matang,matang-6.jpg
25.86838542,112.7691146,142.3607292,16.86016695,41.14262634,40.675841,4.35933937,1.262408746,4.108668804,0.80421875,0.019427083,38.95396179,matang,matang-7.jpg
28.65052083,107.1903646,137.9618229,20.41160949,45.93901711,40.03766912,3.741304662,1.287072869,4.4104352,0.712552083,0.015989583,39.41298827,matang,matang-8.jpg
22.456875,126.5097917,149.9313542,4.224225105,25.44372278,31.43100705,5.633452354,1.185136268,3.575704098,0.830572917,0.001458333,30.6372767,matang,matang-9.jpg
20.85026042,105.5616146,109.0827604,25.13722391,42.84995692,44.59708831,5.062841511,1.033356211,4.510744095,0.3359375,0.001041667,43.31261506,matang,matang-10.jpg
